;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000011454.18;1378;2635;1390;1756;2052;1386;1771;2233;1863;1697
ENSG00000222351.1;1;0;0;0;0;1;0;0;0;0
ENSG00000213216.2;0;0;0;0;0;0;0;0;0;0
ENSG00000188394.8;0;0;0;0;0;0;0;0;1;0
ENSG00000225078.2;0;0;0;0;0;0;0;2;0;0
ENSG00000236901.6;8;27;8;16;36;20;17;24;18;9
ENSG00000165209.19;224;369;221;257;296;253;353;406;415;342
ENSG00000283941.1;0;0;0;0;0;0;0;0;0;0
ENSG00000148204.12;0;1;1;0;0;0;1;0;0;0
ENSG00000119522.18;590;1147;711;844;1025;882;991;974;978;718
ENSG00000207991.1;0;0;0;0;2;1;0;0;0;0
ENSG00000274932.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237336.1;0;0;0;0;0;0;2;0;0;1
ENSG00000230826.1;0;0;0;4;0;0;1;0;1;0
ENSG00000229115.1;0;0;0;0;0;0;0;0;0;0
ENSG00000234881.1;0;0;0;0;0;0;0;0;0;0
ENSG00000106689.11;0;0;0;0;1;0;2;1;0;2
ENSG00000236668.3;0;0;0;0;0;0;0;0;0;0
ENSG00000231227.1;0;0;0;0;0;0;0;1;0;0
ENSG00000234921.1;0;1;0;0;0;0;0;0;0;0
ENSG00000119408.17;2727;5098;2497;3125;4225;2603;2881;3567;2698;2490
ENSG00000235204.1;7;10;2;5;9;5;4;4;2;0
ENSG00000227200.1;3;4;12;5;12;9;2;10;3;6
ENSG00000136930.13;2304;4363;3561;4439;3773;4445;4547;3773;3914;3141
ENSG00000180264.12;0;1;2;0;0;0;0;1;0;0
ENSG00000136931.10;0;0;0;0;4;0;0;0;0;0
ENSG00000231149.2;0;0;0;0;0;0;0;0;0;0
ENSG00000148200.17;30;34;26;40;39;23;45;44;51;42
ENSG00000231744.1;0;0;0;0;0;0;0;0;0;0
ENSG00000241246.3;0;0;0;0;0;0;0;0;0;0
ENSG00000224020.3;3;4;1;2;1;2;1;0;2;3
ENSG00000207595.1;0;0;0;0;0;0;0;0;0;0
ENSG00000207737.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236643.1;1;3;0;1;3;0;0;2;0;0
ENSG00000185585.20;161;365;88;110;286;97;191;266;68;98
ENSG00000136918.8;0;0;2;0;0;0;3;0;0;0
ENSG00000136942.15;5970;12267;9837;10656;9936;12342;16178;10258;9105;8061
ENSG00000136950.13;896;1754;1324;1591;1416;1804;1838;1508;1265;1131
ENSG00000289285.1;0;1;2;0;0;1;2;0;0;1
ENSG00000136935.14;747;1214;770;898;1076;924;976;1143;883;876
ENSG00000199313.1;2;0;0;0;0;1;0;0;0;1
ENSG00000173611.18;194;327;237;275;325;288;189;280;252;227
ENSG00000177736.4;0;0;0;0;0;0;1;0;1;1
ENSG00000119414.12;1461;2437;1721;2073;2173;2012;2070;2439;2338;2060
ENSG00000232630.1;6;21;16;13;29;13;24;34;31;15
ENSG00000235332.2;0;0;0;0;0;1;1;0;0;0
ENSG00000136933.17;475;995;665;904;812;868;954;778;714;647
ENSG00000044574.9;17564;33681;26196;31053;27608;26458;23738;23106;21100;17897
ENSG00000239705.2;2;5;0;2;0;0;0;0;0;0
ENSG00000165219.23;1511;2629;1681;1872;2321;1644;1574;2233;1960;1803
ENSG00000214593.3;1;0;1;0;0;0;0;0;0;0
ENSG00000200554.1;0;0;0;0;0;0;0;0;0;0
ENSG00000227845.2;0;0;1;0;0;0;2;0;0;0
ENSG00000274510.1;0;0;0;0;0;0;0;0;0;0
ENSG00000287782.1;2;0;0;0;0;0;0;0;0;0
ENSG00000119487.17;2217;4070;3086;3712;3523;3573;3566;3573;3516;2907
ENSG00000243845.3;0;0;0;0;0;0;0;0;0;0
ENSG00000227068.1;0;0;0;0;2;0;2;1;0;0
ENSG00000214761.3;0;1;0;0;0;0;3;0;0;0
ENSG00000229582.3;1;1;0;0;0;2;0;2;0;0
ENSG00000167081.18;445;860;572;612;775;712;834;961;891;804
ENSG00000232413.1;0;0;0;0;0;0;0;0;0;0
ENSG00000288537.1;0;1;0;0;0;0;1;0;0;1
ENSG00000228392.3;0;0;0;0;0;0;0;0;0;0
ENSG00000196814.15;268;610;301;362;519;279;441;549;378;422
ENSG00000253079.1;0;0;0;0;0;0;0;0;0;1
ENSG00000252985.1;0;0;1;0;1;0;0;0;0;0
ENSG00000233721.1;0;0;0;0;0;0;0;0;0;0
ENSG00000279137.1;0;0;0;1;0;0;0;0;0;1
ENSG00000226078.1;0;0;0;0;0;0;0;0;0;0
ENSG00000224842.2;1;2;0;0;2;2;3;2;3;1
ENSG00000136944.19;30;35;23;32;35;28;51;79;32;44
ENSG00000238010.1;0;0;0;0;0;0;0;0;0;0
ENSG00000286428.1;0;0;0;0;0;0;0;0;0;0
ENSG00000169155.10;455;872;501;624;643;524;493;795;652;660
ENSG00000288995.1;0;1;0;0;2;0;0;0;0;2
ENSG00000177125.6;248;423;238;306;353;268;308;524;374;359
ENSG00000136828.19;71;119;111;106;84;109;110;152;119;141
ENSG00000136859.10;1292;2670;723;797;2133;880;1116;1245;940;893
ENSG00000228487.2;0;0;2;0;7;1;0;2;0;3
ENSG00000136895.19;61;126;62;82;100;84;141;152;130;130
ENSG00000229369.1;0;0;0;0;0;0;0;0;0;0
ENSG00000271833.1;2;2;6;2;6;5;9;5;3;1
ENSG00000136856.18;605;1307;570;684;984;886;1098;929;750;649
ENSG00000196152.10;177;334;149;160;254;204;208;213;172;132
ENSG00000197958.13;11034;21097;13661;16797;17238;18042;26085;18870;16929;14641
ENSG00000201302.1;6;3;1;7;13;8;2;3;2;5
ENSG00000148356.15;610;1299;710;763;1047;763;1043;1040;862;642
ENSG00000200788.1;0;0;1;0;0;0;0;0;0;0
ENSG00000136830.12;19222;39775;47555;55657;32962;52017;44917;40851;55283;47524
ENSG00000136854.25;2219;4409;2785;3158;3561;3128;2703;3035;3339;2734
ENSG00000279571.3;0;1;0;0;1;0;0;2;0;0
ENSG00000187024.15;5;8;6;4;5;3;7;5;6;9
ENSG00000283874.1;0;0;0;0;0;0;0;0;0;0
ENSG00000160401.15;73;174;124;128;125;126;130;165;127;94
ENSG00000167094.16;3;11;2;3;2;0;5;12;5;2
ENSG00000160404.18;118;279;171;152;199;231;228;187;139;147
ENSG00000095370.20;11;5;1;1;5;6;1;2;1;0
ENSG00000286196.1;0;0;0;0;0;0;0;0;0;0
ENSG00000136807.14;919;2065;1367;1523;1672;1637;1866;1954;1567;1382
ENSG00000283863.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284547.1;0;0;0;0;0;0;0;0;0;0
ENSG00000136877.15;1615;3592;2544;2894;2815;2940;3460;2890;2660;2384
ENSG00000106991.14;8634;17944;11925;13953;14882;15799;12014;10988;10289;8912
ENSG00000225032.5;17;40;7;19;38;15;23;21;16;17
ENSG00000222421.1;0;0;0;0;0;5;0;0;0;0
ENSG00000222455.1;0;0;0;2;0;0;0;0;0;0
ENSG00000106992.19;265;552;481;572;448;632;434;400;350;311
ENSG00000257524.6;17;43;27;12;25;29;15;12;22;19
ENSG00000263979.1;1;2;0;1;3;0;0;0;0;0
ENSG00000160408.16;10;18;21;10;16;15;12;15;15;8
ENSG00000136840.19;488;1070;845;1090;989;1121;1303;1063;1075;970
ENSG00000167103.12;36;77;27;40;54;47;47;48;27;21
ENSG00000227218.7;94;146;105;142;134;90;71;61;69;52
ENSG00000136908.18;576;1165;937;1173;1010;1233;1455;1108;1046;945
ENSG00000167106.12;3075;6310;5326;6369;5172;5767;4222;4739;5277;4596
ENSG00000230848.1;0;0;0;0;0;0;0;0;0;0
ENSG00000171169.9;250;467;287;366;374;308;397;371;292;255
ENSG00000148339.13;523;1246;570;611;855;517;871;864;679;658
ENSG00000230536.1;0;0;0;0;1;0;0;0;0;0
ENSG00000234771.3;17;36;26;37;39;28;14;16;25;17
ENSG00000148334.16;894;2032;1448;1631;1668;1891;1909;1529;1317;1203
ENSG00000232850.3;0;13;2;2;3;2;1;6;4;4
ENSG00000148346.12;0;0;0;0;0;0;0;0;0;0
ENSG00000171159.5;1044;2155;1608;1949;1710;2367;2314;1657;1698;1404
ENSG00000148337.22;3120;6172;4209;4746;5184;5348;4632;4221;3916;3525
ENSG00000106976.22;43;105;50;68;95;80;111;96;60;58
ENSG00000207581.1;0;0;0;0;0;0;0;0;0;0
ENSG00000264823.3;0;0;0;0;0;0;0;0;0;0
ENSG00000167110.19;3159;6473;3940;4721;5330;3688;4492;5377;4374;4161
ENSG00000175854.15;424;923;644;859;722;796;891;745;619;550
ENSG00000167112.10;863;1618;1073;1367;1453;1316;1514;1390;1265;1089
ENSG00000272696.1;4;13;12;5;9;5;6;13;6;2
ENSG00000167113.11;609;1443;889;1085;1105;1028;1172;919;814;703
ENSG00000167114.13;1435;2997;2321;2594;2429;2894;2960;2625;2733;2321
ENSG00000223551.1;3;9;2;10;4;6;12;4;7;10
ENSG00000167118.11;1370;3020;2095;2365;2310;2447;2702;2339;2086;1781
ENSG00000207955.5;0;1;0;0;0;0;0;1;0;0
ENSG00000284185.1;0;0;0;0;0;0;0;0;0;0
ENSG00000283335.1;0;0;0;0;0;0;0;0;0;0
ENSG00000167123.20;11446;24511;15693;17796;19530;19802;17751;16124;13405;11844
ENSG00000273186.1;17;45;29;39;37;55;44;19;31;23
ENSG00000228510.2;1;7;2;1;3;5;3;6;1;4
ENSG00000136811.17;641;1385;759;939;1110;862;1038;1060;681;692
ENSG00000225951.1;2;0;1;2;5;2;2;1;0;0
ENSG00000119392.16;648;1307;880;1122;1104;875;830;996;868;778
ENSG00000228395.3;4;3;1;5;11;6;10;8;8;10
ENSG00000238406.1;0;0;0;0;0;2;0;0;1;1
ENSG00000197694.19;13233;26510;16276;19595;22430;14921;17458;20313;16973;15142
ENSG00000280474.1;1;2;0;0;0;0;1;0;0;1
ENSG00000280758.1;4;8;1;1;4;3;3;3;2;1
ENSG00000119333.12;1245;2543;1567;1812;2128;2120;2400;1673;1554;1344
ENSG00000227759.2;1;0;0;0;0;0;0;0;0;0
ENSG00000234705.3;2;5;2;3;4;1;1;1;4;0
ENSG00000119335.18;5007;9013;5432;6741;7559;6623;7780;7795;6391;5745
ENSG00000160447.7;136;300;98;125;282;134;265;196;167;162
ENSG00000264438.2;0;0;0;0;0;0;0;0;0;0
ENSG00000160446.19;852;1818;1053;1088;1395;1335;1915;1369;1228;1006
ENSG00000223478.2;42;102;43;47;55;57;38;36;33;44
ENSG00000160445.11;1910;3896;2035;2458;3207;2479;2837;2903;2665;2213
ENSG00000203286.5;1;8;1;0;7;7;0;1;1;0
ENSG00000107021.16;1237;2401;1406;1709;2087;1460;1803;1955;1619;1523
ENSG00000167136.7;285;599;453;459;616;646;581;449;404;352
ENSG00000198917.13;4;4;3;2;3;1;6;12;3;9
ENSG00000286112.1;3;9;7;7;1;0;4;3;1;3
ENSG00000171097.14;3;10;2;2;6;2;5;8;1;4
ENSG00000136802.12;3534;7006;6700;7747;5771;7154;8321;8845;10349;9054
ENSG00000175287.19;104;277;92;104;247;118;238;194;119;145
ENSG00000251184.1;0;0;0;0;0;0;0;0;0;0
ENSG00000175283.8;716;1410;871;1138;1174;1147;1133;998;913;814
ENSG00000095319.14;2298;4509;2548;3111;3840;2983;2625;3120;2654;2302
ENSG00000267834.1;0;5;2;0;2;4;3;0;0;0
ENSG00000148341.18;946;2059;1654;2035;1657;2122;2198;1861;1762;1571
ENSG00000148343.19;839;1654;1212;1425;1448;1269;1647;1421;1315;1184
ENSG00000287234.1;0;1;0;0;0;0;1;0;0;0
ENSG00000167130.18;389;810;579;667;712;728;644;621;619;474
ENSG00000095321.18;1783;3575;2386;2696;3000;3135;3177;2822;2831;2443
ENSG00000234055.1;0;0;0;0;0;0;0;0;0;0
ENSG00000119383.21;2822;6253;4397;5190;5127;5456;6591;5713;4806;4125
ENSG00000235007.3;0;0;0;0;0;0;0;0;0;0
ENSG00000268707.1;1;2;0;5;7;3;0;1;0;0
ENSG00000188483.8;653;1440;557;588;1138;711;1854;1366;1224;952
ENSG00000204055.5;1;1;0;0;0;0;0;0;1;0
ENSG00000224307.4;0;2;0;2;0;0;3;3;3;1
ENSG00000179082.4;4;13;7;2;11;0;0;8;8;5
ENSG00000268615.1;0;2;0;0;2;0;0;2;0;0
ENSG00000233901.8;88;193;49;63;145;59;340;263;295;259
ENSG00000242281.3;0;0;0;0;0;0;0;0;0;0
ENSG00000236146.2;0;1;0;0;1;0;0;0;0;0
ENSG00000230676.1;0;0;0;0;0;0;0;0;0;0
ENSG00000226355.2;2;0;0;0;1;0;0;0;0;0
ENSG00000204054.14;461;896;627;735;760;737;882;819;734;760
ENSG00000261334.1;0;0;1;0;2;0;0;0;0;0
ENSG00000286078.1;0;0;0;0;0;0;0;0;0;0
ENSG00000227619.3;0;3;0;6;4;0;2;3;1;1
ENSG00000148335.15;528;981;737;753;898;845;1047;923;704;660
ENSG00000179058.8;9;36;9;13;23;15;15;14;1;11
ENSG00000148331.12;852;1739;1140;1416;1421;1376;1366;1459;1315;1170
ENSG00000234789.1;2;3;3;4;1;1;0;3;2;3
ENSG00000167157.11;535;966;475;503;873;634;577;426;309;227
ENSG00000236024.1;3;0;0;3;0;1;0;0;0;0
ENSG00000148344.11;260;540;78;103;427;79;235;184;128;79
ENSG00000233909.1;0;0;0;0;0;0;0;0;0;0
ENSG00000136816.16;2153;4048;3192;3586;3323;3456;2967;3254;3399;2775
ENSG00000136827.12;2021;3960;2672;3032;3449;3252;3497;3312;3035;2476
ENSG00000136819.15;1212;2149;1449;1824;1864;1980;2200;1916;1919;1612
ENSG00000136878.14;720;1359;847;955;1110;919;1339;1339;1009;1001
ENSG00000276124.1;0;0;1;0;0;0;0;0;0;0
ENSG00000224988.1;0;0;0;0;0;0;0;0;0;2
ENSG00000288956.2;1;2;0;2;1;3;1;0;0;1
ENSG00000187239.19;2208;4204;2769;3181;3493;2936;2240;2959;2746;2496
ENSG00000288924.1;152;276;189;213;231;299;197;123;162;136
ENSG00000230684.1;1;2;0;0;2;1;2;0;4;2
ENSG00000270755.1;0;1;0;0;2;0;2;0;0;0
ENSG00000289226.2;0;1;0;0;0;0;0;0;0;0
ENSG00000148358.20;4296;8195;5179;6407;6776;4859;5036;6882;6157;5143
ENSG00000223188.1;0;1;0;1;0;0;1;0;2;0
ENSG00000196979.1;2;1;0;0;1;0;0;3;0;0
ENSG00000107130.10;3143;6198;4889;5743;5006;5529;6386;6116;6363;5203
ENSG00000148357.18;2;9;0;6;2;0;0;1;0;1
ENSG00000264169.2;0;0;0;0;0;0;0;0;0;0
ENSG00000130707.18;3043;6196;3469;4008;5010;4426;5295;4179;4259;3788
ENSG00000289933.1;0;0;0;1;0;0;0;0;0;0
ENSG00000107164.17;1613;3046;1906;2316;2456;2208;2166;2745;2122;1997
ENSG00000277713.1;0;0;0;0;0;0;0;0;0;0
ENSG00000232172.1;0;0;0;0;0;0;0;0;0;0
ENSG00000130711.5;1;5;7;1;3;11;2;2;1;0
ENSG00000130713.17;441;762;412;442;682;492;658;702;410;388
ENSG00000097007.20;4623;9522;5600;6916;7615;6178;6205;7781;5991;5278
ENSG00000288570.1;0;0;0;0;0;0;0;0;0;0
ENSG00000224797.1;0;0;0;2;0;0;0;0;0;0
ENSG00000188710.3;9;13;13;19;12;14;21;10;18;14
ENSG00000130720.13;176;308;62;53;234;90;131;145;14;30
ENSG00000236658.1;0;3;0;0;1;1;0;0;0;0
ENSG00000050555.19;42;87;2;5;56;4;5;11;4;1
ENSG00000252582.1;0;0;0;0;0;0;0;0;0;0
ENSG00000126878.13;5;11;5;20;10;12;5;4;4;7
ENSG00000126883.19;882;1926;1065;1306;1594;1211;1338;1700;1280;1205
ENSG00000252622.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236986.6;0;3;1;0;1;0;0;0;0;0
ENSG00000246851.1;2;0;2;0;0;0;1;2;1;0
ENSG00000288727.2;0;0;0;0;0;0;0;0;0;0
ENSG00000226987.1;2;2;0;0;2;0;0;0;0;0
ENSG00000126882.14;69;108;57;76;105;84;103;104;100;74
ENSG00000286547.1;0;0;0;1;0;1;0;0;0;0
ENSG00000160539.6;460;910;677;719;751;842;956;850;809;656
ENSG00000285287.1;5;4;2;4;2;1;0;0;0;3
ENSG00000289000.1;0;0;1;4;1;0;0;0;0;1
ENSG00000288701.1;5139;10569;5460;6626;8275;4469;4693;8590;6507;6065
ENSG00000291303.1;0;0;0;0;0;0;0;0;0;0
ENSG00000288841.1;0;0;0;0;0;0;0;0;0;0
ENSG00000235284.1;0;0;1;4;3;0;0;1;3;0
ENSG00000231587.1;6;3;2;4;3;1;7;4;5;3
ENSG00000176868.3;0;0;0;0;0;0;0;0;0;0
ENSG00000130714.19;1008;1994;1538;1770;1722;1812;1694;1532;1653;1364
ENSG00000230289.1;0;0;0;0;0;0;0;0;0;1
ENSG00000130717.13;765;1371;895;962;1191;1052;1439;1306;1063;1001
ENSG00000283526.2;1;0;0;0;2;0;0;0;0;0
ENSG00000107263.19;1852;3674;2435;2771;2990;2511;2924;3538;3205;2637
ENSG00000240853.3;0;0;0;0;0;0;1;0;0;0
ENSG00000231018.1;0;0;0;0;0;0;0;0;0;0
ENSG00000212395.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236687.1;0;0;0;0;0;0;0;0;0;0
ENSG00000160563.14;696;1212;953;1226;1070;1282;1237;1117;1057;895
ENSG00000196358.12;687;1288;1215;1363;1247;1450;1365;1160;1458;1228
ENSG00000107290.14;2704;4635;2653;3409;3944;2221;2405;4292;3359;3228
ENSG00000125482.13;237;438;261;344;368;280;383;365;362;302
ENSG00000188523.9;6;3;3;0;1;0;0;1;0;2
ENSG00000252521.1;0;0;0;0;0;0;0;0;0;0
ENSG00000125492.10;0;0;2;0;0;0;0;1;0;0
ENSG00000125485.18;332;682;422;542;557;543;665;668;560;579
ENSG00000125484.12;1204;2080;1230;1360;1708;1046;1237;1966;1451;1272
ENSG00000165695.10;15;42;25;36;42;31;41;21;44;31
ENSG00000224992.2;0;0;2;1;4;1;2;0;0;2
ENSG00000165698.16;196;387;239;289;288;273;294;306;278;257
ENSG00000165699.15;1267;2282;1418;1778;1789;1261;1627;2186;1901;1752
ENSG00000165702.15;7;2;1;1;1;0;1;0;0;3
ENSG00000263816.1;0;0;0;0;0;0;0;0;0;0
ENSG00000234907.1;0;0;0;0;0;0;0;0;0;0
ENSG00000238558.1;0;0;0;0;0;0;0;0;0;0
ENSG00000196205.8;1806;5030;2876;3034;3930;3662;3485;3973;2693;3233
ENSG00000288989.2;5;11;1;8;6;4;4;6;2;0
ENSG00000148308.18;862;1817;1127;1284;1503;1292;1799;1497;1241;1083
ENSG00000273932.1;0;1;0;0;2;1;0;0;0;0
ENSG00000170835.17;13;23;9;19;15;10;17;7;3;10
ENSG00000290769.1;0;0;0;0;0;0;2;0;0;0
ENSG00000170827.10;0;0;0;0;0;0;0;0;0;0
ENSG00000160271.16;78;130;96;109;91;97;85;101;63;90
ENSG00000285245.1;0;0;0;0;0;0;0;0;0;0
ENSG00000148288.13;101;181;139;121;149;146;301;235;200;236
ENSG00000171102.16;0;0;0;0;0;0;0;0;0;0
ENSG00000119440.8;0;0;0;0;0;0;0;0;0;0
ENSG00000175164.16;2;1;1;0;5;2;5;8;4;7
ENSG00000201843.1;0;0;0;0;0;0;0;0;0;0
ENSG00000204031.3;1;0;0;0;0;0;0;0;0;0
ENSG00000148296.7;612;1238;872;1019;1000;969;1429;1224;968;904
ENSG00000201451.1;0;1;0;0;0;0;1;0;0;1
ENSG00000148297.16;842;1584;1078;1246;1394;1116;1628;1727;1307;1194
ENSG00000230064.1;0;0;0;0;0;0;0;0;0;0
ENSG00000148303.17;19631;38907;26335;31252;32372;32750;41097;30833;28349;25047
ENSG00000206611.1;0;0;0;0;0;0;0;0;0;0
ENSG00000200831.1;0;0;0;0;0;0;0;0;0;0
ENSG00000199744.1;0;0;0;0;0;0;0;0;0;0
ENSG00000252542.1;0;0;0;0;0;0;0;0;0;0
ENSG00000148290.10;696;1436;944;1168;1144;1315;1530;1168;1138;979
ENSG00000148291.10;186;387;288;340;348;321;452;265;319;224
ENSG00000148248.14;12887;25133;18286;21710;21755;21048;20477;21785;20031;16891
ENSG00000198870.8;41;37;21;20;30;23;22;22;22;13
ENSG00000148300.12;607;1389;938;1066;1147;1077;1425;1264;991;942
ENSG00000160323.19;186;407;163;230;280;158;191;162;137;121
ENSG00000160325.15;388;774;507;669;638;665;780;684;617;576
ENSG00000160326.14;1414;3023;1896;2177;2581;2293;2261;1843;2054;1675
ENSG00000187616.5;0;0;0;0;0;0;0;0;0;0
ENSG00000197859.11;43;76;14;6;82;14;4;18;13;7
ENSG00000196990.10;2;9;2;3;8;3;0;0;0;0
ENSG00000261018.1;0;0;0;0;0;0;0;0;0;0
ENSG00000123454.12;10;10;9;6;9;6;1;11;8;16
ENSG00000225756.1;12;42;13;8;37;16;18;18;8;10
ENSG00000123453.19;104;203;123;80;176;96;170;121;138;91
ENSG00000160293.17;1067;2198;1328;1559;1876;1300;1423;1617;1217;1067
ENSG00000235106.10;1126;2280;1569;1717;1847;1785;1499;1568;1528;1376
ENSG00000169925.17;697;1364;748;930;1172;589;893;1237;979;883
ENSG00000235138.1;1;7;15;8;8;7;3;15;2;5
ENSG00000271525.1;0;2;4;0;0;0;0;0;0;1
ENSG00000273249.1;4;3;2;7;0;0;0;1;3;3
ENSG00000196363.10;1015;1922;1251;1558;1667;1345;1666;1679;1309;1003
ENSG00000221676.1;0;0;0;1;0;0;0;0;0;0
ENSG00000273473.1;1;4;0;2;0;0;3;0;1;1
ENSG00000289220.1;0;0;0;0;0;0;0;0;0;0
ENSG00000223729.1;0;0;0;0;0;0;0;0;0;0
ENSG00000279929.1;0;0;0;0;0;0;0;0;0;0
ENSG00000186350.12;1559;3217;1918;2321;2570;1883;2480;2735;2024;1977
ENSG00000263897.1;0;0;0;0;0;0;0;0;0;0
ENSG00000223795.2;0;0;0;0;0;0;0;0;0;0
ENSG00000228877.2;0;0;0;0;0;0;0;0;0;0
ENSG00000227150.1;0;0;1;0;0;0;1;0;0;0
ENSG00000130635.17;52900;113606;87100;104430;88668;86295;72153;92096;71157;68531
ENSG00000204011.5;1;2;1;4;2;2;0;1;0;2
ENSG00000286502.1;12;18;23;11;15;9;13;18;12;11
ENSG00000264744.1;0;0;0;0;0;0;0;0;0;0
ENSG00000265872.1;0;0;0;0;0;0;0;0;0;0
ENSG00000265848.1;0;0;0;0;0;0;0;0;0;0
ENSG00000264163.1;0;0;0;0;0;0;0;0;0;0
ENSG00000264136.1;0;0;0;0;0;0;0;0;0;0
ENSG00000266827.1;0;0;0;0;0;0;0;0;0;0
ENSG00000266514.1;0;0;0;3;0;0;0;0;0;0
ENSG00000232355.2;1;0;0;0;0;0;1;0;0;0
ENSG00000160339.16;0;0;0;0;0;0;1;0;3;0
ENSG00000085265.12;0;0;0;0;0;0;0;0;0;0
ENSG00000236403.2;0;0;0;0;0;0;0;0;0;0
ENSG00000279935.1;0;0;0;0;0;0;0;0;0;0
ENSG00000130558.20;390;922;540;653;677;656;930;706;731;545
ENSG00000227958.1;0;0;0;0;0;0;0;0;0;0
ENSG00000233936.1;0;0;0;0;0;0;0;0;0;0
ENSG00000178243.4;0;0;0;0;0;0;0;0;0;0
ENSG00000235572.3;0;0;0;0;0;0;0;0;0;0
ENSG00000224682.1;0;4;0;0;0;0;0;0;0;0
ENSG00000225361.4;13;40;38;23;17;21;25;36;19;24
ENSG00000196422.11;514;1043;536;683;915;593;659;684;566;599
ENSG00000160345.13;79;142;88;88;134;125;112;114;77;77
ENSG00000122140.13;595;1102;762;834;1072;974;1172;1070;963;793
ENSG00000226706.1;1;4;0;0;1;0;5;0;0;1
ENSG00000160349.10;0;3;3;1;4;3;1;0;0;1
ENSG00000122136.14;0;0;0;0;0;0;0;0;0;0
ENSG00000122133.17;0;0;0;0;0;0;0;0;0;0
ENSG00000237339.5;0;0;0;0;0;0;0;0;3;0
ENSG00000224045.2;0;0;0;0;0;0;0;0;0;0
ENSG00000290889.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236543.3;0;0;0;0;0;0;0;0;0;0
ENSG00000204007.8;0;0;0;0;0;0;0;0;0;0
ENSG00000148386.10;0;0;0;0;0;0;0;0;0;0
ENSG00000165643.11;0;0;0;0;0;0;0;0;0;0
ENSG00000107147.14;0;1;0;3;4;0;3;2;5;2
ENSG00000130559.19;1047;1958;1226;1429;1711;1182;1371;1843;1712;1522
ENSG00000238058.2;32;66;42;40;66;20;46;28;58;28
ENSG00000130560.9;1018;1891;1233;1429;1636;1582;1703;1443;1351;1303
ENSG00000148411.8;3786;7779;4708;5389;6495;4240;6031;8146;7451;6736
ENSG00000260193.1;5;16;13;7;6;7;31;17;19;13
ENSG00000238227.8;1919;3832;3637;4295;3577;4132;5354;4903;5528;4759
ENSG00000275329.1;0;3;1;4;3;1;8;14;9;3
ENSG00000107187.17;0;0;0;0;0;0;0;0;0;0
ENSG00000165661.18;945;2064;1471;1638;1704;1524;1283;1564;1551;1225
ENSG00000260220.7;0;3;3;0;2;4;2;2;0;4
ENSG00000279813.1;0;0;0;0;0;0;0;0;0;0
ENSG00000283769.1;0;0;0;0;0;0;0;0;0;0
ENSG00000262075.3;9;9;4;2;1;3;6;3;9;2
ENSG00000160360.13;1326;2886;2035;2322;2266;2319;2580;2486;1868;1689
ENSG00000213221.5;5;10;1;5;2;6;9;4;1;3
ENSG00000289701.1;4;8;17;4;31;11;8;13;11;20
ENSG00000187796.16;15;45;29;28;34;12;90;115;85;76
ENSG00000165684.6;475;1046;537;558;777;564;832;832;629;476
ENSG00000165689.17;1014;2086;1462;1658;1822;1795;2009;1740;1625;1293
ENSG00000165688.14;1423;2740;1870;2090;2309;2118;2652;2249;2122;1814
ENSG00000148384.14;562;1148;734;723;885;783;778;805;722;624
ENSG00000148396.19;4243;8487;5088;6076;7333;4811;6158;8665;7080;6539
ENSG00000196366.3;5;9;3;5;2;5;2;5;6;6
ENSG00000148400.13;1024;2116;1258;1412;1647;1129;1271;1566;1218;1040
ENSG00000263403.1;0;0;0;0;0;0;0;0;0;0
ENSG00000227512.1;0;2;0;1;5;0;1;1;0;0
ENSG00000265181.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237886.2;8;28;3;6;6;3;13;13;6;5
ENSG00000279141.4;0;3;1;0;3;0;0;3;0;1
ENSG00000228401.7;0;0;0;0;1;0;0;0;0;0
ENSG00000172889.16;580;1346;942;1096;1130;1238;1026;725;652;526
ENSG00000199161.1;0;0;0;0;0;0;1;0;0;0
ENSG00000169692.13;1435;3007;1962;2228;2404;2359;3365;2502;2591;2094
ENSG00000165716.11;29;51;24;31;42;24;33;31;26;23
ENSG00000233016.9;655;1308;869;968;1092;1200;1261;924;935;831
ENSG00000280496.1;0;0;0;0;0;0;0;0;0;0
ENSG00000276161.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274998.1;0;0;0;0;0;0;0;0;0;0
ENSG00000281808.1;0;0;0;0;0;0;0;0;0;0
ENSG00000274356.1;0;2;5;3;5;6;4;3;2;2
ENSG00000187922.14;0;0;0;0;0;0;0;0;2;0
ENSG00000204003.8;0;0;0;0;0;0;0;0;0;0
ENSG00000267206.6;0;0;0;0;0;0;0;0;0;0
ENSG00000278756.1;0;0;0;0;0;0;0;0;0;0
ENSG00000204001.10;0;0;0;0;0;0;0;0;0;0
ENSG00000177984.7;0;0;0;0;1;0;0;1;0;0
ENSG00000224662.2;0;1;0;0;0;0;0;0;0;0
